Week Commencing,Week No,RSV pos_Total of LabPK,RSV pos_0-<05,RSV pos_05-14,RSV pos_15-44,RSV pos_45-64,RSV pos_65+,RSV tot_Total,RSV tot_0-<05,RSV tot_05-14,RSV tot_15-44,RSV tot_45-64,RSV tot_65+,RSV %_Total,RSV %_0-<05,RSV %_05-14,RSV %_15-44,RSV %_45-64,RSV %_65+
01/10/2012,40,21,20,,1,,,679,279,64,139,112,67,3.09,7.17,0,0.72,0,0
08/10/2012,41,38,36,,,2,,635,271,56,138,104,53,5.98,13.28,0,0,1.92,0
15/10/2012,42,46,43,,1,2,,633,245,36,149,115,64,7.27,17.55,0,0.67,1.74,0
22/10/2012,43,92,81,2,6,,2,732,324,48,155,112,68,12.57,25,4.17,3.87,0,2.941176471
29/10/2012,44,157,150,2,2,,2,868,386,46,172,131,88,18.09,38.86,4.35,1.16,0,2.272727273
05/11/2012,45,219,199,4,4,6,1,935,462,53,185,135,72,23.42,43.07,7.55,2.16,4.44,1.388888889
12/11/2012,46,227,203,2,9,9,3,981,468,71,192,140,89,23.14,43.38,2.82,4.69,6.43,3.370786517
19/11/2012,47,314,277,5,8,16,5,1099,562,67,209,152,82,28.57,49.29,7.46,3.83,10.53,6.097560976
26/11/2012,48,377,320,18,17,17,3,1205,659,94,197,150,74,31.29,48.56,19.15,8.63,11.33,4.054054054
03/12/2012,49,364,323,9,10,14,6,1157,630,97,185,123,74,31.46,51.27,9.28,5.41,11.38,8.108108108
10/12/2012,50,304,247,8,8,19,16,1256,545,137,225,188,115,24.2,45.32,5.84,3.56,10.11,13.91304348
17/12/2012,51,259,209,4,13,21,5,1324,486,148,268,241,127,19.56,43,2.7,4.85,8.71,3.937007874
24/12/2012,52,261,182,11,25,19,19,1283,506,127,271,190,139,20.34,35.97,8.66,9.23,10,13.66906475
31/12/2012,1,208,145,9,17,20,11,1381,468,96,330,268,175,15.06,30.98,9.38,5.15,7.46,6.285714286
07/01/2013,2,147,86,8,21,16,16,1249,344,79,298,294,234,11.77,25,10.13,7.05,5.44,6.837606838
14/01/2013,3,97,65,1,9,13,9,1016,319,70,234,222,171,9.55,20.38,1.43,3.85,5.86,5.263157895
21/01/2013,4,73,44,4,9,9,7,1098,354,108,238,217,180,6.65,12.43,3.7,3.78,4.15,3.888888889
28/01/2013,5,64,37,3,6,9,9,1212,382,138,279,196,215,5.28,9.69,2.17,2.15,4.59,4.186046512
04/02/2013,6,63,37,7,10,6,3,1212,367,139,292,224,188,5.2,10.08,5.04,3.42,2.68,1.595744681
11/02/2013,7,55,37,4,8,4,2,1337,367,103,347,301,217,4.11,10.08,3.88,2.31,1.33,0.921658986
18/02/2013,8,50,32,2,2,6,8,1288,369,82,300,262,271,3.88,8.67,2.44,0.67,2.29,2.95202952
25/02/2013,9,38,23,2,1,8,4,1249,332,87,289,253,285,3.04,6.93,2.3,0.35,3.16,1.403508772
04/03/2013,10,28,14,1,1,4,8,1170,335,88,265,259,220,2.39,4.18,1.14,0.38,1.54,3.636363636
11/03/2013,11,23,15,2,2,2,2,1208,359,91,250,228,279,1.9,4.18,2.2,0.8,0.88,0.716845878
18/03/2013,12,26,13,,2,5,5,1269,335,90,291,227,320,2.05,3.88,0,0.69,2.2,1.5625
25/03/2013,13,23,14,2,3,4,,1106,320,79,243,217,241,2.08,4.38,2.53,1.23,1.84,0
01/04/2013,14,17,11,,2,2,2,1010,322,64,185,214,225,1.68,3.42,0,1.08,0.93,0.888888889
08/04/2013,15,11,5,,3,1,2,1031,271,49,214,225,271,1.07,1.85,0,1.4,0.44,0.73800738
15/04/2013,16,15,7,,1,6,1,940,248,52,217,209,214,1.6,2.82,0,0.46,2.87,0.46728972
22/04/2013,17,11,7,1,1,2,,805,255,56,181,166,145,1.37,2.75,1.79,0.55,1.2,0
29/04/2013,18,13,10,,1,1,1,799,247,60,169,180,141,1.63,4.05,0,0.59,0.56,0.709219858
06/05/2013,19,5,5,,,,,760,252,60,139,161,144,0.66,1.98,0,0,0,0
13/05/2013,20,12,7,1,,,4,840,272,77,206,146,139,1.43,2.57,1.3,0,0,2.877697842
20/05/2013,21,6,5,1,,,,710,226,52,165,145,121,0.85,2.21,1.92,0,0,0
27/05/2013,22,8,5,,2,1,,707,216,46,166,146,132,1.13,2.31,0,1.2,0.68,0
03/06/2013,23,2,1,,,1,,698,208,58,151,156,125,0.29,0.48,0,0,0.64,0
10/06/2013,24,5,4,,,,1,677,218,45,165,135,110,0.74,1.83,0,0,0,0.909090909
17/06/2013,25,7,5,1,,,1,719,213,51,157,158,139,0.97,2.35,1.96,0,0,0.71942446
